City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,san patricio,28.017,-97.5169,25.94,69,10,4.62,US,1694836395
83,saipan,15.1355,145.701,31.39,74,0,5.66,MP,1694835807
84,iqaluit,63.7506,-68.5145,0.85,86,20,7.72,CA,1694835819
85,ancud,-41.8697,-73.8203,7.82,80,100,9.18,CL,1694835854
86,dzhalagash,45.0833,64.6667,19.1,33,0,2.49,KZ,1694836395
87,batumi,41.6416,41.6359,18.99,88,75,5.66,GE,1694836396
88,whitehorse,60.7161,-135.0538,10.57,43,75,3.6,CA,1694835615
89,puerto ayora,-0.7393,-90.3518,23.64,89,99,2.24,EC,1694835814
90,college,64.8569,-147.8028,12.99,62,75,2.06,US,1694835818
91,new norfolk,-42.7826,147.0587,12.72,96,97,1.52,AU,1694835839
92,canutama,-6.5339,-64.3831,27.01,50,81,0.83,BR,1694836397
93,west island,-12.1568,96.8225,27.99,69,40,5.14,CC,1694835828
94,udachny,66.4167,112.4,1.36,86,67,8.8,RU,1694835834
95,ugoofaaru,5.6667,73.0,28.0,74,17,3.62,MV,1694835947
96,kodiak,57.79,-152.4072,10.73,100,100,0.0,US,1694835810
97,alice springs,-23.7,133.8833,30.75,10,0,3.09,AU,1694835889
98,port alfred,-33.5906,26.891,11.21,65,86,2.68,ZA,1694835831
99,laguna,38.421,-121.4238,26.99,60,0,3.6,US,1694835936
100,zaragoza,41.6561,-0.8773,19.25,83,40,2.57,ES,1694836360
101,ciudad lazaro cardenas,17.9583,-102.2,27.75,84,100,1.41,MX,1694836399
102,ndende,-2.4008,11.3581,21.98,90,46,1.14,GA,1694836399
103,newman,37.3138,-121.0208,27.38,46,4,1.34,US,1694835828
104,albany,42.6001,-73.9662,15.3,74,100,0.45,US,1694835813
105,iskateley,67.6803,53.1512,4.63,82,100,2.03,RU,1694835829
106,flying fish cove,-10.4217,105.6791,25.82,78,100,7.2,CX,1694835826
107,pisco,-13.7,-76.2167,18.34,77,20,1.03,PE,1694835646
108,hamilton,39.1834,-84.5333,17.71,74,0,1.54,US,1694835803
109,ribeira grande,38.5167,-28.7,20.99,67,0,7.6,PT,1694835814
110,mirny,62.5353,113.9611,6.8,48,35,4.92,RU,1694835948
111,greymouth,-42.4667,171.2,10.93,82,100,6.14,NZ,1694835611
112,tazovsky,67.4667,78.7,11.28,80,71,5.88,RU,1694835830
113,bonthe,7.5264,-12.505,24.45,92,100,3.23,SL,1694836402
114,hawaiian paradise park,19.5933,-154.9731,27.8,84,20,3.6,US,1694835833
115,kurayoshi,35.4333,133.8167,29.95,72,41,2.26,JP,1694836402
116,badger,64.8,-147.5333,12.95,66,75,2.06,US,1694835839
117,yellowknife,62.456,-114.3525,12.45,81,40,3.09,CA,1694835795
118,tefe,-3.3542,-64.7114,25.29,43,78,0.72,BR,1694835856
119,san pedro,14.35,121.0167,32.57,66,40,3.09,PH,1694836403
120,sabang,5.8933,95.3214,28.11,73,96,2.83,ID,1694836403
121,waingapu,-9.6567,120.2641,29.76,55,86,7.16,ID,1694836404
122,jamestown,42.097,-79.2353,12.8,89,0,3.09,US,1694835700
123,qaqortoq,60.7167,-46.0333,4.47,98,100,4.22,GL,1694835826
124,yemetsk,63.4721,41.7941,5.97,92,99,2.49,RU,1694836404
125,isafjordur,66.0755,-23.124,6.17,83,42,2.29,IS,1694835815
126,nova sintra,14.8667,-24.7167,23.56,77,28,6.06,CV,1694836405
127,vila velha,-20.3297,-40.2925,18.97,93,75,6.17,BR,1694835920
128,terbanggi besar,-4.8667,105.2333,31.21,55,84,3.92,ID,1694836405
129,nieuw amsterdam,5.8833,-55.0833,27.23,86,17,4.04,SR,1694836406
130,selfoss,63.9331,-20.9971,7.8,96,100,1.78,IS,1694835828
131,georgetown,5.4112,100.3354,31.96,70,20,3.09,MY,1694835815
132,as sulayyil,20.4607,45.5779,32.14,21,11,4.17,SA,1694835891
133,longyearbyen,78.2186,15.6401,0.91,80,75,3.6,SJ,1694835823
134,port hueneme,34.1478,-119.1951,21.08,87,100,3.09,US,1694836407
135,kuta,-8.7233,115.1723,27.97,78,40,7.2,ID,1694836407
136,mweka,-4.85,21.5667,21.42,77,70,0.54,CD,1694836407
137,ta`u,-14.2336,-169.5144,26.75,81,99,9.37,AS,1694835887
138,ilulissat,69.2167,-51.1,8.01,49,100,7.2,GL,1694835837
139,tual,-5.6667,132.75,25.42,79,33,8.01,ID,1694835895
140,kingston,17.997,-76.7936,29.53,90,20,3.09,JM,1694835834
141,rio de janeiro,-22.9028,-43.2075,19.0,82,100,3.09,BR,1694835602
142,pak phanang,8.3511,100.202,33.01,54,100,0.8,TH,1694836408
143,vilhena,-12.7406,-60.1458,23.26,59,25,0.98,BR,1694836408
144,dul'durga,50.6761,113.5931,12.9,38,99,2.96,RU,1694836409
145,zapadnaya dvina,56.259,32.0745,6.23,88,18,1.11,RU,1694836409
146,smithers,54.7804,-127.1743,12.18,58,40,2.06,CA,1694835661
147,tura,25.5198,90.2201,30.04,67,2,0.87,IN,1694835940
148,ponoka,52.6768,-113.5815,17.99,45,5,4.02,CA,1694836410
149,port antonio,18.18,-76.4612,29.95,81,85,2.35,JM,1694836410
150,pakuranga,-36.8833,174.9167,17.61,65,57,4.63,NZ,1694836410
151,mangrol,21.1167,70.1167,28.37,75,98,4.97,IN,1694836410
152,cabo san lucas,22.8909,-109.9124,29.61,74,0,2.98,MX,1694836218
153,newberry,34.2746,-81.6187,19.92,88,0,1.33,US,1694836411
154,egilsstadir,65.2653,-14.3948,3.95,87,75,1.54,IS,1694835907
155,twon-brass,4.3151,6.2418,25.49,87,100,4.54,NG,1694836411
156,kailua-kona,19.6406,-155.9956,28.98,86,40,4.12,US,1694835748
157,ola,59.5833,151.2833,15.08,66,15,2.56,RU,1694835890
158,pando,-34.7167,-55.95,16.22,63,0,8.23,UY,1694836412
159,coquimbo,-29.9533,-71.3436,12.85,94,0,0.51,CL,1694835924
160,kapa'a,22.0752,-159.319,28.99,74,20,7.2,US,1694835873
161,letlhakane,-21.4167,25.5833,18.84,29,0,0.65,BW,1694836413
162,phan rang-thap cham,11.5667,108.9833,33.52,52,47,4.03,VN,1694836413
163,awjilah,29.1081,21.2869,22.16,40,0,2.73,LY,1694835934
164,thompson,55.7435,-97.8558,8.09,87,100,4.63,CA,1694835823
165,kavaratti,10.5669,72.642,27.59,77,95,3.26,IN,1694835844
166,sitka,57.0531,-135.33,12.94,71,100,3.09,US,1694835595
167,altai,46.3722,96.2583,6.41,60,97,2.3,MN,1694835932
168,khandyga,62.6667,135.6,3.12,93,100,5.5,RU,1694836414
169,penzance,50.1186,-5.5371,16.38,90,50,6.34,GB,1694836414
170,afaahiti,-17.75,-149.2833,23.93,82,86,8.35,PF,1694835920
171,ulladulla,-35.35,150.4667,30.43,24,0,5.53,AU,1694836415
172,khash,28.2211,61.2158,25.57,16,50,1.8,IR,1694836415
173,linevo,54.4589,83.3764,14.66,70,97,1.95,RU,1694836292
174,mahe,11.7,75.5333,26.75,80,99,1.61,IN,1694836415
175,santa catalina,9.3337,122.8637,30.99,69,49,2.29,PH,1694836416
176,brookings,44.3114,-96.7984,16.77,66,0,0.0,US,1694836416
177,palikir - national government center,6.9248,158.1611,29.47,84,100,3.09,FM,1694835855
178,marang,5.2056,103.2059,30.54,72,48,2.63,MY,1694836190
179,adrar,20.5022,-10.0711,32.52,27,5,3.46,MR,1694836416
180,novoagansk,61.9449,76.6625,13.96,64,42,2.65,RU,1694836417
181,tweed heads,-28.1817,153.547,27.34,58,0,5.14,AU,1694836417
182,esmeralda,21.8525,-78.1169,25.11,84,56,2.23,CU,1694836417
183,mejit,10.2753,170.8646,28.58,78,15,6.51,MH,1694836417
184,magadan,59.5667,150.8,14.74,66,24,2.14,RU,1694836418
185,dabwali,29.95,74.7333,33.66,53,28,3.6,IN,1694836418
186,la'ie,21.6477,-157.9253,29.98,75,28,1.79,US,1694835614
187,utrik,11.2278,169.8474,28.78,78,85,6.6,MH,1694835852
188,daru,-9.0763,143.2092,25.57,64,63,6.43,PG,1694836419
189,sensuntepeque,13.8667,-88.6333,19.3,95,80,0.71,SV,1694836183
190,meiganga,6.5167,14.3,18.08,99,100,1.57,CM,1694836419
191,gafour,36.3205,9.3242,24.21,48,70,1.39,TN,1694836419
192,roccella ionica,38.322,16.4009,23.74,63,7,2.64,IT,1694836420
193,severo-yeniseyskiy,60.3725,93.0408,14.65,58,25,1.06,RU,1694836420
194,walvis bay,-22.9575,14.5053,11.16,93,0,2.57,NA,1694836420
195,riberalta,-10.9833,-66.1,25.45,63,42,0.58,BO,1694836420
196,kyzyl-mazhalyk,51.1333,90.6,9.96,77,100,0.9,RU,1694836421
197,denov,38.2667,67.9,26.88,22,0,2.68,UZ,1694836421
198,anadyr,64.75,177.4833,7.28,75,75,2.0,RU,1694835821
199,lihue,21.9789,-159.3672,28.58,74,20,7.2,US,1694835847
200,belyy yar,53.6039,91.3903,14.94,77,0,2.0,RU,1694836422
201,la passe,45.5549,-0.8967,19.13,88,100,4.53,FR,1694835897
202,bar-sur-aube,48.25,4.5833,15.35,71,100,3.43,FR,1694836422
203,taunsa,30.7048,70.6505,36.37,31,23,2.22,PK,1694836423
204,bu'aale,1.0833,42.5833,23.18,78,12,2.35,SO,1694836423
205,madalena,41.2162,-8.3345,17.32,94,93,1.81,PT,1694835911
206,dassa-zoume,7.75,2.1833,23.27,97,100,0.73,BJ,1694836423
207,ryotsu-minato,38.0833,138.4333,26.91,81,71,0.46,JP,1694836423
208,bac lieu,9.285,105.7244,29.72,69,81,5.06,VN,1694835926
209,labrador city,52.9463,-66.9114,4.95,93,0,2.06,CA,1694835834
210,amos,48.5669,-78.1162,9.21,87,52,2.57,CA,1694836295
211,kifri,34.6959,44.9661,27.99,12,0,3.08,IQ,1694836424
